crop,Percentrefuse,Protein,Lipid,Energy,Ca,Fe,Mg,Ph,K,Na,Zn,Cu,Fl,Mn,Se,VitA,betaC,alphaC,VitE,Crypto,Lycopene,Lutein,betaT,gammaT,deltaT,VitC,Thiamin,Riboflavin,Niacin,Pantothenic,VitB6,Folate,VitB12,VitK
mango,31,0.51,0.27,272,10,0.13,9,11,156,2,0.04,0.11,0,0.027,0.6,765,445,17,1.12,11,0,0,0,0,0,27.7,0.058,0.057,0.584,0.16,0.134,14,0,4.2
melonetc,49,0.84,0.19,141,9,0.21,12,15,267,16,0.18,0.041,1,0.041,0.4,3382,2020,16,0.05,1,0,26,0,0.11,0,36.7,0.041,0.019,0.734,0.105,0.072,21,0,2.5
melonseed,63,28.33,47.37,2330,54,7.28,515,755,648,99,10.24,0.686,0,1.614,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0.145,3.55,0.346,0.089,58,0,0
millet,0,11.02,4.22,1582,8,3.01,114,285,195,5,1.68,0.75,0,1.632,2.7,0,0,0,0.05,0,0,0,0,0,0,0,0.421,0.29,4.72,0.848,0.384,85,0,0.9
mushroom,3,3.09,0.34,22,3,0.5,9,86,318,5,0.52,0.318,0,0.047,9.3,0,0,0,0.01,0,0,0,0.01,0.01,0.01,2.1,0.081,0.402,3.607,1.497,0.104,17,0.04,0
mustard,0,0,100,884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nutmeg,0,7.77,25.13,437,273,10.30333333,191.6666667,167,644,38,3.973333333,1.292333333,0,10.8,2.15,300.6666667,28,0,0,66,0,0,0,0.53,0,15,0.285333333,0.229,1.250333333,0,0.183333333,3383.666667,0,0
nutnes,51.33333333,10.651,54.728,2424.111,52.667,2.852,144.778,288.889,533.889,6.333,2.656,0.777,10,3.745,6.68,108.667,23,0,3.757,4.5,0,13,0.13,11.863,0.157,4.378,0.558,0.163,2.134,0.732,0.332,54.111,0,28.7
oats,0,16.89,6.9,1628,54,4.72,177,523,429,2,3.97,0.626,0,4.916,0,0,0,0,0,0,0,0,0,0,0,0,0.763,0.139,0.961,1.349,0.119,56,0,0
oilpalm,0,2.2,81.9,3123,136.1,5.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35,0.17,1.81,0,0,0,0,0
okra,14,2,0.1,129,81,0.8,57,63,303,8,0.6,0.094,0,0.99,0.7,375,225,0,0.36,0,0,516,0,0,0,21.1,0.2,0.06,1,0.245,0.215,88,0,53
olive,10,0.84,10.68,481,88,3.3,4,3,8,872,0.22,0.251,0,0.02,0.9,403,237,0,1.65,9,0,510,0,0,0,0.9,0.003,0,0.037,0.015,0.009,0,0,1.4
onion,10,8.95,0.46,349,257,1.55,92,303,1622,21,1.89,0.416,0,1.389,5,18,11,0,0.18,0,0,32,0,0,0,75,0.5,0.1,0.99,1.38,1.6,166,0,3.8
orange,27,0.94,0.12,197,40,0.1,10,14,181,0,0.07,0.045,0,0.025,0.5,225,71,11,0.18,116,0,129,0,0,0,53.2,0.087,0.04,0.282,0.25,0.06,30,0,0
papaya,33,0.61,0.14,163,24,0.1,10,5,257,3,0.07,0.016,0,0.011,0.6,1094,276,0,0.73,761,0,75,0,0,0,61.8,0.027,0.032,0.338,0.218,0.019,38,0,2.6
pea,0,24.55,1.16,1425,55,4.43,115,366,981,15,3.01,0.866,0,1.391,1.6,149,89,0,0.09,0,0,0,0,2.09,0.09,1.8,0.726,0.215,2.889,1.758,0.174,274,0,14.5
peachetc,6.5,0.985,28.5,175,6,26.5,9,23,195.5,0,0.17,0.077,4,0.058,0.05,329,156,0,0.75,82.5,0,110.5,0.05,0.06,0.05,6,0.029,0.029,0.966,0.669,0.025,4.5,0,2.4
pear,10,0.38,0.12,242,9,0.17,7,11,119,1,0.1,0.082,2.2,0.049,0.1,23,13,0,0.12,2,0,45,0,0.03,0,4.2,0.012,0.025,0.157,0.048,0.028,7,0,4.5
pepper,0,10.39,3.26,251,443,9.71,171,158,1329,20,1.19,1.33,34.2,12.753,4.9,547,310,12,1.04,25,20,454,0,6.56,0,0,0.108,0.18,1.143,1.399,0.291,17,0,163.7
peppermint,39,3.75,0.94,70,243,5.08,80,73,569,31,1.11,0.329,0,1.176,0,4248,0,0,0,0,0,0,0,0,0,31.8,0.082,0.266,1.706,0.338,0.129,114,0,0
persimmon,16,0.58,0.19,293,8,0.15,9,17,161,1,0.11,0.113,0,0.355,0.6,1627,253,0,0.73,1447,159,834,0,0,0,7.5,0.03,0.02,0.1,0,0.1,8,0,2.6
pigeonpea,0,21.7,1.49,1435,130,5.23,183,367,1392,17,2.76,1.057,0,1.791,8.2,28,0,0,0,0,0,0,0,0,0,0,0.643,0.187,2.965,1.266,0.283,456,0,0
pineapple,49,0.54,0.12,50,13,0.29,12,8,109,1,0.12,0.11,0,0.927,0.1,58,35,0,0.02,0,0,0,0,0,0,47.8,0.079,0.032,0.5,0.213,0.112,18,0,0.7
pistachio,47,20.61,44.44,2332,107,4.15,121,490,1025,1,2.2,1.3,0,1.2,7,553,332,0,2.3,0,0,0,0,22.6,0.8,5,0.87,0.16,1.3,0.52,1.7,51,0,0
plantain,35,1.3,0.37,122,3,0.6,37,34,499,4,0.14,0.081,0,0,1.5,1127,457,438,0.14,0,0,30,0,0,0,18.4,0.052,0.054,0.686,0.26,0.299,22,0,0.7
plum,6,0.7,0.28,192,6,0.17,7,16,157,0,0.1,0.057,2,0.052,0,345,190,0,0.26,35,0,73,0,0.08,0,9.5,0.028,0.026,0.417,0.135,0.029,5,0,6.4
poppy,0,0,100,884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
potato,0,2.02,0.09,77,12,0.78,23,57,421,6,0.29,0.108,0,0.153,0.3,2,1,0,0.01,0,0,8,0,0,0,19.7,0.08,0.032,1.054,0.296,0.295,16,0,1.9
pulsenes,2.666666667,21.822,6.208,1241.38,216.928,6.42,139.78,311.88,923.108,20.105,3.995,1.641,0,1.479,5.7,7,13,0,0.46,0,0,0,0,0,0,6.733,0.727,0.205,1.633,0.722,0.124,26.667,0,0.3
pumpkinetc,21.33333333,1.053,0.137,107.667,21.333,0.577,14.333,35,317.333,2.333,0.273,0.083,0,0.154,0.3,2983.667,1346.667,171.667,0.433,715,0,1221,0,0,0,12.767,0.043,0.105,0.529,0.214,0.145,23,0,1.733
quince,39,0.4,0.1,57,11,0.7,8,17,197,4,0.04,0.13,0,0,0.6,40,0,0,0,0,0,0,0,0,0,15,0.02,0.03,0.2,0.081,0.04,3,0,0
quinoa,0,14.12,6.07,1539,47,4.57,197,457,563,5,3.1,0.59,0,2.033,8.5,14,8,0,2.44,1,0,163,0.08,4.55,0.35,0,0.36,0.318,1.52,0.772,0.487,184,0,0
rapeseed,0,0,100,884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.46,0,0,0,0.01,27.34,0.99,0,0,0,0,0,0,0,0,71.3
rasberry,4,1.2,0.65,52,25,0.69,22,29,151,1,0.42,0.09,0,0.67,0.2,33,12,16,0.87,0,0,136,0.06,1.42,1.04,26.2,0.032,0.038,0.598,0.329,0.055,21,0,7.8
rice,22,7.72,2.8,1531.5,28,1.635,143,298.5,245.5,2.5,4.52,0.277,0,3.743,23.4,0,0,0,1.2,0,0,0,0,0,0,0,0.407,0.068,4.7,1.493,0.509,20,0,1.9
rye,0,14.76,2.5,1402,33,2.67,121,374,264,6,3.73,0.45,0,2.68,35.3,11,7,0,1.28,0,0,210,0,0,0,0,0.316,0.251,4.27,1.456,0.294,60,0,5.9
