climate_bin,min_GDD,max_GDD,min_annual_prec,max_annual_prec,yield_ceiling,yield_floor,b_nut,b_K2O,c_N,c_P2O5,c_K2O,yield_ceiling_rf,bin_rmse,bin_r2
71,5820.2163,6588.7373,14,312,5.7606,0.53203,0.90764,0.65833,0.024333,,0.090722,2.0552,1.0315,0.40922
72,5820.2163,6588.7373,312,353,3.0012,0.66746,0.7776,,0.013278,,,2.1382,0.45798,0.25952
73,5820.2163,6588.7373,353,407,3.2809,0.64196,0.80434,,0.023416,,,1.7406,0.5768,0.25483
74,5820.2163,6588.7373,407,484,3.4194,0.48367,0.85855,,0.030483,,,1.723,0.68743,0.30205
75,5820.2163,6588.7373,484,581,3.4194,0.77387,0.77368,,0.018713,0.064219,,1.7815,0.67787,0.15263
76,5820.2163,6588.7373,581,695,3.4194,0.80251,0.7653,,,0.041232,,1.8475,0.6262,0.10183
77,5820.2163,6588.7373,695,839,3.4194,1.0447,0.69447,,0.018693,0.032573,,2.4074,0.47161,0.25754
78,5820.2163,6588.7373,839,982,6.1759,1.1802,0.80891,0.56771,0.006969,0.014996,0.061068,6.1759,0.60597,0.71738
79,5820.2163,6588.7373,982,1155,4.5031,1.1745,0.73917,0.43736,,0.023509,0.033631,2.5705,0.69072,0.29748
80,5820.2163,6588.7373,1155,1662,4.3517,1.0532,0.75799,0.6637,0.035386,0.048175,0.030365,3.1866,0.74977,0.25723
81,6588.7373,9058.5469,14,299,5.3665,0.66746,0.87562,,0.0075301,0.017274,,,0.93651,0.47811
82,6588.7373,9058.5469,299,352,4.3631,0.65951,0.84884,,0.0091716,0.022375,,2.1755,0.62985,0.67375
83,6588.7373,9058.5469,352,411,4.3631,0.7577,0.82634,,0.01053,0.025689,,1.5967,0.83631,0.76736
84,6588.7373,9058.5469,411,480,4.7142,0.72,0.84727,,,0.02794,,1.7421,1.0952,0.78812
85,6588.7373,9058.5469,480,565,4.7142,0.88995,0.81122,,0.011658,0.028431,,1.7941,1.2642,0.79986
86,6588.7373,9058.5469,565,647,4.7944,0.93832,0.80429,,0.011447,0.027884,,1.8632,1.0723,0.7952
87,6588.7373,9058.5469,647,727,4.7944,0.93832,0.80429,,0.012268,0.029927,,1.9217,1.1043,0.77037
88,6588.7373,9058.5469,727,879,4.7944,0.93152,0.80571,,0.011361,0.027715,,2.4288,1.1078,0.68381
89,6588.7373,9058.5469,879,1061,4.5236,0.90272,0.80044,,,0.020563,,2.004,0.82175,0.55313
90,6588.7373,9058.5469,1061,1468,3.9318,0.52157,0.86735,,,0.016419,,1.8748,0.89077,0.25617
91,9058.5469,9911.5078,111,237,5.4779,2.0711,0.62192,,0.0017133,,,2.3565,0.79052,0.083764
92,9058.5469,9911.5078,237,486,5.3665,1.6349,0.69535,,0.005768,,,1.9319,1.2061,0.51538
93,9058.5469,9911.5078,486,695,4.313,1.0231,0.76279,,0.009685,,,1.6174,1.2445,0.41913
94,9058.5469,9911.5078,695,836,3.7914,1.0231,0.73016,,0.02715,0.026535,,1.8097,0.70861,0.31475
95,9058.5469,9911.5078,836,901,3.7914,1.1033,0.70899,,0.011055,0.021469,,2.0575,0.68496,0.25354
96,9058.5469,9911.5078,901,955,6.5497,0.66199,0.89893,,0.0037787,0.0098339,,2.0983,1.1541,0.084723
97,9058.5469,9911.5078,955,1014,6.8506,0.27082,0.96047,0.78595,0.020229,0.011777,0.045539,2.569,1.2994,0.09288
98,9058.5469,9911.5078,1014,1084,6.8506,0.27082,0.96047,,0.0038938,0.008654,,1.8148,1.3168,0.087609
99,9058.5469,9911.5078,1084,1161,4.6139,0.52157,0.88696,,,0.011977,,1.9941,1.2557,0.078185
100,9058.5469,9911.5078,1161,1384,3.2197,0.52157,0.83801,0.53768,0.0082184,,0.11126,1.4394,0.82593,0.043333
