LONG,LATI,LAM,K,REF
-97.06665802001953,25.93338966369629,6.790166854858398,2.6723849773406982,10
-97.06665802001953,26.000049591064453,6.746971130371094,2.6580729484558105,10
-97.06665802001953,26.06671905517578,6.8032732009887695,2.677170991897583,10
-97.06665802001953,26.133390426635742,6.859737873077393,2.6919798851013184,10
-97.06665802001953,26.20005989074707,6.917015075683594,2.703166961669922,10
-97.06665802001953,26.266719818115234,6.975144863128662,2.7109858989715576,10
-97.06665802001953,26.333389282226562,7.034665107727051,2.716442108154297,10
-97.06665802001953,26.400060653686523,7.094948768615723,2.7186620235443115,10
-97.06665802001953,26.466720581054688,7.155229091644287,2.7159340381622314,10
-97.06665802001953,26.533390045166016,7.197547912597656,2.718869924545288,10
-97.06665802001953,26.600059509277344,7.221911907196045,2.7277109622955322,10
-97.06665802001953,26.666719436645508,7.246804237365723,2.7330119609832764,10
